meta,Genus,Species,Isolate N,Taxon,PC1,PC2,PC3,PC4,PC5
Salspp23BHI18BC13,Sal,spp,23,Sal spp,-1.0597018418582187,1.0781818619313126,0.769714236025339,-0.1963115215622342,2.313796384963841
Salspp23BHI18BC21,Sal,spp,23,Sal spp,-0.04005506597694318,-0.38022092074816427,3.2877364768700224,-0.9720340929757242,2.233985918604975
Salspp23BHI18BC22,Sal,spp,23,Sal spp,0.8930244937339888,1.5226961786067668,3.9897416607802403,0.03063642507587782,2.7380648039621844
Salspp23BHI18BC23,Sal,spp,23,Sal spp,0.9298521977989572,-1.096371855248862,3.126559680131621,-0.9885472314358149,1.8077906292389423
Salspp23BHI18BC31,Sal,spp,23,Sal spp,0.634957889027798,0.48777637451186795,6.364172916923085,-0.13399055023925374,6.7215819502218785
Salspp23BHI18BC32,Sal,spp,23,Sal spp,0.7057046870622032,0.4443832584389393,6.141106528403343,0.19649725201745225,6.503987973135807
Salspp23BHI18BC33,Sal,spp,23,Sal spp,0.5658061239641389,0.32970876991677284,5.984241413649985,0.2868342616876865,5.802090368370926
Salspp30BHI18BC21,Sal,spp,30,Sal spp,2.563376912283728,-3.212630820979488,-0.6904899103082872,-2.6554793090678284,2.8308370095749784
Salspp30BHI18BC22,Sal,spp,30,Sal spp,-18.397271210741657,-1.976063264931467,-0.7342380614628682,-0.33938944196342913,2.3295828467409856
Salspp30BHI18BC23,Sal,spp,30,Sal spp,-23.188276546643067,4.410917589745011,2.070728881680444,-4.321702154062125,2.111525775112538
Salspp30BHI18BC31,Sal,spp,30,Sal spp,-0.09545068803652051,0.4579991090446638,2.318770270852173,-1.9800168210398954,4.561473429685868
Salspp30BHI18BC32,Sal,spp,30,Sal spp,0.02317827102147516,0.4369010891783666,2.5643600225374255,-2.0846258027288886,4.251470346815761
Salspp30BHI18BC33,Sal,spp,30,Sal spp,0.3923713881841226,-0.5449579529690629,3.7479545428279715,-2.0911526142155665,4.182780900162433
Salspp30BHI18BC11,Sal,spp,30,Sal spp,0.47258410724954586,0.5361431961178241,-1.829404479462243,0.843766116494738,-1.8733809782781696
Salspp30BHI18BC12,Sal,spp,30,Sal spp,0.4117619474827339,0.5488838991108276,-2.458767155517248,1.0803397254357991,-1.356392767818645
Salspp30BHI18BC13,Sal,spp,30,Sal spp,0.3863333360039168,0.4596487538796416,-2.42013525318022,1.118754838650145,-1.3390756918838218
Rhoery44BHI18BC21,Rho,ery,44,Rho ery,4.255731774015963,-0.30221991569131074,1.6722494439888547,1.0060096051945524,1.8128819922530521
Rhoery44BHI18BC22,Rho,ery,44,Rho ery,3.299767573241176,0.48059458458649273,1.0295681050154062,0.633733492297118,1.6188405396432801
Rhoery44BHI18BC23,Rho,ery,44,Rho ery,3.0067091821437786,0.543441463611083,0.8024516541556955,0.6236510382852686,1.6463887326079334
Rhoery44BHI18BC31,Rho,ery,44,Rho ery,5.128703281050731,-1.062048586381591,1.2620760910470818,0.8620543105328728,1.1712387687797823
Rhoery44BHI18BC32,Rho,ery,44,Rho ery,3.767920436197517,-0.14019048885621044,1.0298667665311343,0.7889569273537282,0.9955825232590957
Rhoery44BHI18BC33,Rho,ery,44,Rho ery,5.016611052040515,-1.3338973209203415,1.4548287523007903,0.7209398446967284,1.1656125505117472
Rhoery44BHI18BC11,Rho,ery,44,Rho ery,1.5780967431054238,-0.4906307025697042,0.9141122366281155,1.467792748152228,-0.6284000793131433
